ticker,company_name,sector
AAPL,Apple Inc,Tech
MSFT,Microsoft Corp,Tech
GOOGL,Alphabet Inc,Tech
META,Meta Platforms,Tech
NVDA,NVIDIA Corp,Tech
AMD,Advanced Micro Devices,Tech
ORCL,Oracle Corp,Tech
CRM,Salesforce Inc,Tech
