ticker,company_name,sector
JNJ,Johnson & Johnson,Healthcare
PFE,Pfizer Inc,Healthcare
MRK,Merck & Co,Healthcare
ABBV,AbbVie Inc,Healthcare
LLY,Eli Lilly,Healthcare
BMY,Bristol Myers Squibb,Healthcare
