ticker,company_name,sector
AMZN,Amazon.com Inc,Consumer
WMT,Walmart Inc,Consumer
TGT,Target Corp,Consumer
COST,Costco Wholesale,Consumer
HD,Home Depot,Consumer
MCD,McDonalds Corp,Consumer
